,city,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Khandbari,100,NP,1562434729,95,27.38,87.21,59.8,0.49
376,Hemnesberget,100,NO,1562434729,91,66.23,13.61,44.5,4.43
377,Kaoma,0,ZM,1562434730,29,-14.8,24.8,61.24,4.99
378,Rancho Palos Verdes,90,US,1562434486,77,33.75,-118.37,72.0,4.7
379,Baracoa,49,CU,1562434730,78,20.35,-74.5,83.2,14.12
380,Avila,8,US,1562434730,66,38.91,-76.61,93.2,6.93
381,Teahupoo,75,PF,1562434730,78,-17.83,-149.27,75.2,3.36
382,Banfora,69,BF,1562434730,63,10.64,-4.75,85.0,4.21
383,Gravdal,75,NO,1562434730,76,59.79,5.78,57.99,26.4
384,Kapit,2,MY,1562434731,98,2.02,112.94,72.58,0.22
385,Nioro,97,GM,1562434731,33,13.79,-15.05,96.7,4.79
386,Kyzyl-Suu,100,KG,1562434731,78,42.34,78.0,61.24,4.18
387,Erzin,0,TR,1562434731,54,36.95,36.2,84.2,17.22
388,Verkhoyansk,94,RU,1562434731,84,67.55,133.39,51.16,3.2
389,Robertsport,83,LR,1562434731,83,6.75,-11.37,77.08,12.91
390,Kalininsk,92,RU,1562434731,96,51.5,44.48,56.38,7.31
391,Ayan,73,IR,1562434732,39,38.23,44.7,60.7,3.13
392,Nakonde,39,ZM,1562434732,61,-9.33,32.75,63.94,7.52
393,Ambon,0,FR,1562434732,53,47.55,-2.56,77.0,14.99
394,Fuxin,7,CN,1562434732,93,42.02,121.65,63.94,4.65
395,Mujiayingzi,100,CN,1562434732,96,42.12,118.78,55.12,3.15
396,Quatre Cocos,40,MU,1562434732,78,-20.21,57.76,73.4,6.93
397,Santa Cruz,79,BR,1562434470,47,-6.22,-36.02,85.36,10.51
398,Dubbo,1,AU,1562434733,81,-32.25,148.6,53.6,12.75
399,Kjollefjord,20,NO,1562434733,82,70.95,27.35,47.2,20.78
400,Bogorodskoye,26,RU,1562434733,96,52.37,140.44,53.68,4.27
401,Kaniama,0,CD,1562434733,28,-7.57,24.18,75.82,3.56
402,Jumla,47,NP,1562434733,94,29.28,82.18,53.86,3.0
403,Margate,65,AU,1562434733,100,-43.03,147.26,43.0,3.36
404,Zhangjiakou,100,CN,1562434733,76,40.77,114.88,52.24,8.14
405,San Carlos de Bariloche,0,AR,1562434734,57,-41.13,-71.31,50.0,4.7
406,Chazuta,75,PE,1562434734,290,-6.57,-76.13,62.6,3.36
407,Perth,90,AU,1562434445,100,-31.95,115.86,55.0,9.17
408,Nouadhibou,0,MR,1562434734,64,20.93,-17.03,75.2,20.8
409,Codrington,90,AU,1562434734,93,-28.95,153.24,59.0,1.97
410,Bucak,20,TR,1562434734,17,37.46,30.59,88.0,11.41
411,Tezpur,100,IN,1562434734,93,26.62,92.79,78.52,12.1
412,Nanga Eboko,70,CM,1562434734,95,4.68,12.37,71.14,6.53
413,Kuytun,100,RU,1562434735,94,54.34,101.51,55.66,3.15
414,Biltine,0,TD,1562434735,20,14.53,20.93,98.5,3.11
415,Pontal do Parana,0,BR,1562434735,36,-25.67,-48.51,62.01,4.7
416,Aasiaat,17,GL,1562434735,72,68.71,-52.87,43.96,4.79
417,Ballina,75,IE,1562434735,63,54.11,-9.15,63.0,9.17
418,Brownfield,40,US,1562434736,57,33.18,-102.27,84.0,18.34
419,Anyama,20,CI,1562434736,78,5.5,-4.06,80.6,13.87
420,Tautira,75,PF,1562434736,78,-17.73,-149.15,75.2,3.36
421,Victoria,75,BN,1562434548,88,5.28,115.24,80.6,3.13
422,Kadi,75,IN,1562434736,88,23.3,72.33,82.4,4.7
423,Yushan,0,CN,1562434736,100,31.68,118.49,71.6,2.24
424,Lopez Jaena,87,PH,1562434736,87,16.43,120.6,70.6,3.04
425,Morki,55,RU,1562434736,97,56.43,49.0,55.84,3.24
426,Constitucion,75,MX,1562434737,40,23.99,-104.67,75.99,6.93
427,Beni,95,CD,1562434737,97,0.49,29.47,66.28,0.89
428,Carora,100,VE,1562434737,46,10.17,-70.08,89.68,3.6
429,Kozluk,20,TR,1562434737,33,38.17,41.5,86.0,6.93
430,Tiarei,75,PF,1562434737,78,-17.53,-149.33,75.2,3.36
431,Mahebourg,40,MU,1562434737,78,-20.41,57.7,73.4,6.93
432,Chapulhuacan,48,MX,1562434738,66,21.17,-98.9,76.54,6.2
433,Portree,62,GB,1562434738,78,57.41,-6.19,53.01,7.0
434,Namtsy,0,RU,1562434738,87,62.72,129.66,50.0,6.71
435,Tadine,79,NC,1562434738,82,-21.55,167.88,70.6,24.54
436,Sicuani,11,PE,1562434727,27,-14.27,-71.23,55.3,9.51
437,El Jicaro,24,GT,1562434738,54,14.91,-89.89,79.42,1.68
438,High Level,75,CA,1562434738,43,58.52,-117.13,71.6,2.24
439,Rocha,15,UY,1562434586,64,-34.48,-54.34,46.84,11.16
440,Basco,1,US,1562434479,62,40.33,-91.2,88.0,9.17
441,Russell,1,US,1562434739,54,38.9,-98.86,82.4,3.36
442,Tessalit,75,ML,1562434603,22,20.2,1.01,96.7,12.82
443,Mporokoso,22,ZM,1562434739,49,-9.37,30.12,61.96,1.5
444,Myrtle Beach,1,US,1562434739,74,33.7,-78.89,91.0,9.17
445,Hami,100,CN,1562434739,48,42.84,93.51,73.3,11.03
446,Topolevo,96,RU,1562434739,100,48.51,135.17,68.0,2.24
447,Fort Nelson,75,CA,1562434739,55,58.81,-122.69,66.2,4.7
448,Veraval,0,FR,1562434739,41,49.65,0.71,78.8,10.29
449,Ambilobe,12,MG,1562434740,72,-13.19,49.05,73.3,6.55
450,Muravlenko,84,RU,1562434740,92,63.79,74.5,56.2,14.61
451,Hadrut,16,AZ,1562434740,54,39.52,47.03,71.32,2.39
452,Brae,98,GB,1562434740,71,60.4,-1.35,51.8,13.87
453,Warmbad,0,DE,1562434740,24,50.67,13.08,80.01,12.75
454,Skibbereen,75,IE,1562434740,77,51.55,-9.27,66.2,4.7
455,Port Moresby,4,PG,1562434741,84,-9.47,147.16,77.8,19.89
456,Kondinskoye,97,RU,1562434741,74,59.65,67.41,57.82,8.16
457,Bahia Blanca,0,AR,1562434555,48,-38.72,-62.27,54.22,12.46
458,Sitka,100,US,1562434741,72,37.17,-99.65,75.99,4.54
459,Pietermaritzburg,3,ZA,1562434741,79,-29.6,30.38,61.0,6.17
460,Sarankhola,100,BD,1562434741,84,22.31,89.79,81.76,9.89
461,Dunedin,52,NZ,1562434465,75,-45.87,170.5,42.01,4.0
462,Roald,75,NO,1562434742,71,62.58,6.12,59.0,20.8
463,Saint-Ambroise,75,CA,1562434742,47,48.56,-71.32,77.0,21.92
464,Yenagoa,96,NG,1562434742,92,4.92,6.26,76.72,7.11
465,Feijo,90,EC,1562434742,88,-3.63,-79.92,89.6,7.92
466,Jian,100,IN,1562434742,80,25.65,87.89,83.74,13.78
467,Oranjemund,14,ZA,1562434742,92,-28.55,16.43,55.12,9.31
468,Santa Rosa,0,AR,1562434743,38,-36.62,-64.29,57.64,8.61
469,Hovd,75,NO,1562434743,66,63.83,10.7,55.0,13.87
470,Sidi Ali,75,DZ,1562434743,72,36.1,0.42,78.52,8.05
471,Kieta,80,PG,1562434743,76,-6.22,155.63,78.16,4.12
472,Henderson,1,US,1562434595,10,36.04,-114.98,96.01,16.11
473,Loreto,0,PY,1562434743,30,-23.27,-57.32,59.26,4.61
474,Sorong,99,ID,1562434744,96,-0.86,131.25,73.66,6.08
475,Taiyuan,0,CN,1562434744,30,37.86,112.56,68.0,4.47
476,Redondela,75,ES,1562434744,73,42.28,-8.61,75.0,8.05
477,Ilave,6,PE,1562434744,22,-16.09,-69.64,58.36,4.25
478,Marawi,95,PH,1562434744,96,8.0,124.29,75.99,5.01
479,Nanae,38,JP,1562434744,97,41.94,140.7,55.66,3.09
480,Mehamn,20,NO,1562434745,83,71.03,27.85,46.12,22.73
481,Zhangye,100,CN,1562434745,51,38.94,100.46,60.88,9.71
482,Namwala,0,ZM,1562434745,35,-15.75,26.45,61.78,1.68
483,Shimoda,100,JP,1562434745,72,34.7,138.93,73.99,4.0
484,Parabel,74,RU,1562434745,76,58.71,81.5,57.1,2.68
485,Antofagasta,0,CL,1562434745,63,-23.65,-70.4,60.8,9.17
486,Ardesen,20,TR,1562434745,83,41.19,40.99,75.2,4.7
487,Hokitika,0,NZ,1562434746,64,-42.72,170.96,43.78,3.6
488,Resistencia,0,AR,1562434746,28,-27.45,-58.99,57.2,6.93
489,Srednekolymsk,79,RU,1562434746,57,67.46,153.71,61.06,8.43
490,Naze,81,NG,1562434746,91,5.43,7.07,76.36,6.91
491,Lock Haven,20,US,1562434679,62,41.14,-77.45,89.01,6.93
492,Ponta do Sol,64,BR,1562434664,40,-20.63,-46.0,63.94,10.31
493,Qiongshan,20,CN,1562434488,94,20.01,110.35,80.6,4.47
494,Yar-Sale,40,RU,1562434746,51,66.83,70.83,55.12,18.77
495,Mopti,34,ML,1562434746,38,14.49,-4.19,93.46,16.73
496,Maykopskoye,0,RU,1562434747,46,45.4,40.77,71.68,8.9
497,Shimanovsk,92,RU,1562434747,90,52.0,127.67,57.46,0.89
498,Rangoon,75,MM,1562434747,83,16.81,96.16,80.6,8.05
499,Banka,100,IN,1562434747,80,24.88,86.92,84.1,11.07
500,Okhotsk,100,RU,1562434747,96,59.36,143.24,44.68,1.21
501,Ulladulla,90,AU,1562434747,100,-35.36,150.48,50.0,6.93
502,Itupiranga,40,BR,1562434748,44,-5.13,-49.33,96.8,4.7
503,Kidal,23,ML,1562434748,23,18.44,1.41,98.32,15.23
504,Buala,100,SB,1562434748,85,-8.15,159.59,78.34,9.26
505,Hermiston,1,US,1562434499,40,45.84,-119.29,77.0,13.87
506,Kourou,75,GF,1562434748,66,5.16,-52.64,87.8,12.75
507,Nizhniy Kuranakh,88,RU,1562434748,91,58.84,125.49,54.94,1.32
508,Port-Gentil,75,GA,1562434749,88,-0.72,8.78,75.2,13.87
509,Ovruch,67,UA,1562434749,61,51.33,28.8,58.18,5.75
510,Port Hedland,0,AU,1562434749,82,-20.31,118.58,62.6,6.93
511,Sao Felix do Xingu,20,BR,1562434749,39,-6.64,-51.99,92.92,4.76
512,Bereda,75,ES,1562434749,77,43.27,-7.54,69.01,8.05
513,Aksarka,32,RU,1562434749,54,66.56,67.8,55.12,18.14
514,Manaus,40,BR,1562434710,70,-3.13,-59.98,87.8,3.36
515,Alenquer,20,BR,1562434750,79,-1.95,-54.74,87.8,10.29
516,Kattivakkam,40,IN,1562434750,74,13.22,80.32,87.8,9.17
517,Khani,75,GE,1562434750,78,41.96,42.96,75.2,11.41
518,Nenjiang,99,CN,1562434750,98,49.17,125.23,61.42,3.15
519,Katangli,74,RU,1562434750,93,51.71,143.23,51.52,5.17
520,Belogorsk,98,RU,1562434750,97,50.92,128.47,62.14,1.19
521,Azanka,48,RU,1562434750,97,58.04,64.79,53.5,6.2
522,Yorosso,36,ML,1562434751,42,12.35,-4.78,91.84,1.5
523,Yeppoon,75,AU,1562434751,82,-23.13,150.74,62.6,8.05
524,Kedrovyy,40,RU,1562434751,82,56.17,91.82,62.6,6.04
525,Marzuq,89,YE,1562434751,44,14.4,46.47,83.02,6.2
526,Half Moon Bay,20,US,1562434751,63,37.46,-122.43,73.0,10.29
527,Maniwaki,89,CA,1562434751,41,46.38,-75.98,77.08,10.45
528,Urcos,75,PE,1562434752,38,-13.69,-71.62,59.0,4.7
529,San Jeronimo,0,PE,1562434752,33,-13.65,-73.37,57.2,7.45
530,Nhulunbuy,2,AU,1562434752,94,-12.18,136.78,68.0,4.7
531,Tazovskiy,5,RU,1562434752,62,67.47,78.7,50.08,19.64
532,Celestun,4,MX,1562434752,72,20.87,-90.4,82.3,7.52
533,Bad Munstereifel,0,DE,1562434752,39,50.55,6.77,78.8,14.99
534,Rincon,20,PA,1562434498,59,8.46,-82.28,89.6,5.82
535,Shieli,33,KZ,1562434753,25,44.18,66.74,89.68,9.48
536,Hanyang,100,CN,1562434753,81,32.14,105.51,70.06,2.48
537,College,1,US,1562434694,60,64.86,-147.8,73.99,1.86
538,Luganville,99,VU,1562434753,98,-15.51,167.18,70.42,1.1
539,Bekhtery,0,UA,1562434753,41,46.25,32.3,77.0,4.47
540,Kamen-Rybolov,0,RU,1562434753,95,44.75,132.04,58.0,7.47
